OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
34500,OHA19890355,MANNERING APTS,16908 EUCLID AVE,CLEVELAND,OH,44112,OH-89-0399,,,,,,,,,26,26,,,,,,,,,1989,1989,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,26,26,,2,,PREVIOUSLY LISTED AS OHA1988320.,1,39,Cuyahoga,35,117900,2,2005,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,16908 Euclid Ave,,Cleveland,OH,44112,1450,,44112,99,0,44112145099,H,,,,1,,,A,,90% Overall probable correctness,41.548444,-81.562231,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035117900,390351179002,-9079466.0229,5093576.7187
34504,OHA19900180,LEXINGTON VILLAGE APTS II,1675 E 79TH ST,CLEVELAND,OH,44103,OH-88-0210,,,,,,,,,63,40,,,,,,,,,1990,1988,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,63,40,,2,,,1,39,Cuyahoga,35,112500,2,2011,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,1675 E 79th St,,Cleveland,OH,44103,3452,,44103,75,2,44103345275,S,,,,1,,,A,,90% Overall probable correctness,41.510806,-81.633355,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035112500,390351125002,-9087383.5103,5087979.9109
34512,OHA00000117,WESTERLY I,14300 DETROIT AVE,LAKEWOOD,OH,44107,OH1012-1060,,,,,,,,,122,,,,,,,,,,8888,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,122,,,,PROPERTY RECORD ADDED FROM HUD STUDY DATA FILE.,1,39,Cuyahoga,35,160500,3,3004,Cuyahoga,35,41664,Lakewood,41664,Lakewood city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,2628,S,,14300 Detroit Ave,,Lakewood,OH,44107,4416,,44107,99,1,44107441699,H,,,,1,,,A,,90% Overall probable correctness,41.4856,-81.79374,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3941664,39035160500,390351605003,-9105237.4869,5084233.5728
34518,OHA19880505,SHAKER COLONY APTS,10502 SHAKER BLVD,CLEVELAND,OH,44104,OH-88-0271,,,,,,,,,39,39,,,,,,,,,1988,1988,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,3,39,39,,2,1,,1,39,Cuyahoga,35,119300,3,3010,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,10502 Shaker Blvd,,Cleveland,OH,44104,3764,,44104,99,9,44104376499,H,,,,1,,,A,,90% Overall probable correctness,41.483265,-81.611997,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035119300,390351193003,-9085005.9487,5083886.5983
34533,OHA19900220,MEAD HOUSE,4909 MEAD AVE,CLEVELAND,OH,44127,OH-89-0408,,,,,,,,,16,16,,,,,,,,,1990,1989,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,16,16,,2,1,,1,39,Cuyahoga,35,110501,2,2017,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,4909 Mead Ave,,Cleveland,OH,44127,1133,,44127,9,5,44127113309,S,,,,1,,,A,,90% Overall probable correctness,41.472797,-81.656249,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035110501,390351105012,-9089932.0588,5082331.2362
34535,OHA19900230,MILES PROJECT,11725 MILES AVE,CLEVELAND,OH,44105,OH-90-0560,,,,,,,,,5,5,,,,,,,,,1990,1990,2,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,5,,2,1,,1,39,Cuyahoga,35,121403,2,2006,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,11725 Miles Ave,,Cleveland,OH,44105,5469,,44105,25,5,44105546925,S,,,,1,,,A,,90% Overall probable correctness,41.445398,-81.600824,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035121403,390351214032,-9083762.176,5078261.4116
34543,OHA19870040,CHN,663 E 102ND ST,CLEVELAND,OH,44108,OH-87-0107,,,,,,,,,40,40,,,,,,,,,1987,1987,1,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,3,40,40,,2,,,1,39,Cuyahoga,35,116100,2,2002,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,N,,663 E 102nd St,,Cleveland,OH,44108,1326,,44108,63,2,44108132663,S,,,,1,,,A,,90% Overall probable correctness,41.538627,-81.618166,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035116100,390351161002,-9085692.6786,5092116.6072
34548,OHA19880560,TEMAR PROPERTIES I,13410 SECOND AVE,EAST CLEVELAND,OH,44112,OH-88-0280,,,,,,,,,21,21,,,,,,,,,1988,1988,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,21,21,,2,,,1,39,Cuyahoga,35,150300,3,3006,Cuyahoga,35,23380,East Cleveland,23380,East Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1500,,,13410 2nd Ave,,East Cleveland,OH,44112,,,44112,,,,,,,,2,,,A,V,80% Overall probable correctness,41.531365,-81.589067,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3923380,39035150300,390351503003,-9082453.3927,5091036.651
34549,OHA19880565,TEMAR PROPERTIES II,803 EDDY RD,CLEVELAND,OH,44108,OH-88-0281,,,,,,,,,15,15,,,,,,,,,1988,1988,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,2,15,15,,2,,,1,39,Cuyahoga,35,116800,3,3002,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,Y,,803 Eddy Rd Apt 5,,Cleveland,OH,44108,2378,,44108,5,8,44108237805,H,5,Apt,,0,,,,,100% Overall probable correctness,41.535423,-81.59944,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035116800,390351168003,-9083608.1098,5091640.1147
34558,OHA19890440,MUSICIANS TOWERS,2727 LANCASHIRE RD,CLEVELAND HEIGHTS,OH,44106,OH-89-0421,,,,,,,,,240,240,,,,,,,,,1989,1989,2,2,2,1,,2,,2,0,2,0,2,0,,,0,2,0,,,,,,,,,2,3,240,240,,2,1,,1,39,Cuyahoga,35,141100,2,2003,Cuyahoga,35,16014,Cleveland Heights,16014,Cleveland Heights city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1110,S,,2727 Lancashire Rd,,Cleveland Heights,OH,44106,5518,,44106,99,8,44106551899,H,,,,1,,,A,,90% Overall probable correctness,41.5087,-81.582645,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916014,39035141100,390351411002,-9081738.499,5087666.8427
34565,OHA19900275,CHN VI,1157 E 77TH ST,CLEVELAND,OH,44103,OH-89-0430,,,,,,,,,78,78,,,,,,,,,1990,1989,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,2,2,78,78,,2,1,,1,39,Cuyahoga,35,111700,1,1004,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,1157 E 77th St,,Cleveland,OH,44103,2007,,44103,57,7,44103200757,S,,,,1,,,A,,90% Overall probable correctness,41.523967,-81.635217,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035111700,390351117001,-9087590.7872,5089936.5944
34574,OHA19870090,LONGWOOD APTS,3510 LONGWOOD AVE,CLEVELAND,OH,44115,OH-87-0118,,,,,,,,,820,820,,,,,,,,,1987,1987,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,2,3,820,820,,2,1,,1,39,Cuyahoga,35,109701,1,1002,Cuyahoga,35,16000,Cleveland,16000,Cleveland city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3911,1104,S,,3510 Longwood Ave,,Cleveland,OH,44115,3320,,44115,10,6,44115332010,S,,,,1,,,A,,90% Overall probable correctness,41.491913,-81.664041,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39035,3916000,39035109701,390351097011,-9090799.4602,5085171.7297
