OBJECTID,GEOID,STATE,COUNTY,TRACT,NAME,Shape__Area,Shape__Length
12971,39035124500,39,035,124500,Census Tract 1245,6356361.5859375,11848.4490776421
12972,39035124600,39,035,124600,Census Tract 1246,5025281.87109375,12019.7297303511
12973,39035126100,39,035,126100,Census Tract 1261,3172305.07421875,8888.30500297723
12981,39035140701,39,035,140701,Census Tract 1407.01,1889017.1875,5696.7015645178
12982,39035150100,39,035,150100,Census Tract 1501,1568246.16015625,5629.58847233886
12983,39035150400,39,035,150400,Census Tract 1504,753088.5625,3771.64544942726
12984,39035151200,39,035,151200,Census Tract 1512,1464203.1953125,6754.85104776132
12985,39035151300,39,035,151300,Census Tract 1513,2559130.26171875,7140.10955084963
12986,39035151600,39,035,151600,Census Tract 1516,1574232.40625,5444.79196173963
13020,39035152400,39,035,152400,Census Tract 1524,1098500.8203125,4146.29988199977
13032,39035103800,39,035,103800,Census Tract 1038,1561989.421875,6400.35897661256
13033,39035119501,39,035,119501,Census Tract 1195.01,907426.1875,4946.14179488398
13034,39035120500,39,035,120500,Census Tract 1205,1311524.65234375,6397.171525099
13035,39035120701,39,035,120701,Census Tract 1207.01,1097238.70703125,4845.30258785863
13036,39035122300,39,035,122300,Census Tract 1223,2744879.28515625,7148.51574023494
13037,39035123800,39,035,123800,Census Tract 1238,2358835.91015625,7116.18781888843
13038,39035124201,39,035,124201,Census Tract 1242.01,2821560.6171875,7803.6396997207
13039,39035118900,39,035,118900,Census Tract 1189,1543200.3203125,5213.57630818597
13040,39035151700,39,035,151700,Census Tract 1517,881786.15625,4021.78589155965
13041,39035101800,39,035,101800,Census Tract 1018,1272619.59375,5113.77868447973
13053,39035102900,39,035,102900,Census Tract 1029,917407.11328125,4299.96917131193
13054,39035117300,39,035,117300,Census Tract 1173,2497143.69140625,7272.74120625992
13055,39035117900,39,035,117900,Census Tract 1179,2126534.1328125,8119.31964040875
13056,39035105100,39,035,105100,Census Tract 1051,4280508.421875,12304.2072301421
13057,39035141000,39,035,141000,Census Tract 1410,1440272.21875,5891.77434895506
