OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
35855,OHA19950305,THRESHOLD HOMES,3803 TOLEDO AVE,LORAIN,OH,44055,947180,,,,,,,,275214,40,40,0,0,0,35,5,,,,1995,1994,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,40,40,,2,,,2,39,Lorain,93,23900,2,2005,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,3803 Toledo Ave,,Lorain,OH,44055,2329,,44055,3,3,44055232903,S,,,,1,,,A,,90% Overall probable correctness,41.435857,-82.158202,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093023900,390930239002,-9145809.2111,5076844.6029
35892,OHA19970250,SHEFFIELD MEADOWS APTS,4854 ONEIL BLVD,LORAIN,OH,44055,950100,,,,,,,,265510,60,60,0,0,16,44,0,,,,1997,1995,1,1,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,60,60,,2,,,2,39,Lorain,93,24000,1,1008,Lorain,93,72067,Sheffield,99999,Sheffield township,99,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,,S,,4854 Oneil Blvd,,Lorain,OH,44055,2935,,44055,99,5,44055293599,H,,,,1,,,A,,90% Overall probable correctness,41.42386,-82.152586,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3999999,39093024000,390930240001,-9145184.0409,5075063.3814
36009,OHA19960125,JENNA TERRACE APTS,3152 FULMER RD,LORAIN,OH,44053,OH-95-0023,,,,,,,,198182,64,64,0,4,48,12,0,,,,1996,1995,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,64,64,,2,,,1,39,Lorain,93,97200,3,3012,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,3152 Fulmer Rd,,Lorain,OH,44053,4701,,44053,99,4,44053470199,H,,,,1,,,A,,90% Overall probable correctness,41.442006,-82.22775,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093097200,390930972003,-9153551.2591,5077757.6863
36399,OHA20180003,ARLINGTON SQUARE APARTMENTS,150 DAVID DRIVE,ELYRIA,OH,44035,170053,,,,,,,,650000,59,60,0,12,47,0,0,2,,,2018,2017,2,2,,1,,2,,2,0,2,0,2,0,,,0,2,0,,1,1,2,2,2,2,,2,3,60,60,0,2,,,1,39,Lorain,93,70300,4,4011,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,Y,,150 David Dr Apt 3,,Elyria,OH,44035,2833,,44035,3,5,44035283303,H,3,Apt,,0,,,,,100% Overall probable correctness,41.390894,-82.106994,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093070300,390930703004,-9140108.7626,5070170.5392
36432,OHA20180012,"COTTAGES AT RIVERVIEW, THE",550 SOMMER WAY,ELYRIA,OH,44035,170085,,,,,,,,1100000,62,62,0,32,30,0,0,2,,,2018,2017,2,2,,1,,2,,2,0,2,0,2,0,,,0,2,0,,1,2,1,2,2,2,,1,3,62,62,0,1,,,1,39,Lorain,93,70901,1,1013,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,550 Sommer Way,,Elyria,OH,44035,5406,,44035,50,4,44035540650,S,,,,1,,,A,,90% Overall probable correctness,41.363505,-82.11371,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093070901,390930709011,-9140856.3843,5066107.3268
36564,OHA20190008,CHADWICK PLACE APARTMENTS,160 RIDGE CIRCLE LANE,ELYRIA,OH,44035,180232,,,,,,,,195170,46,46,0,0,32,14,0,3,,,2019,2018,,2,,1,,2,,2,0,2,0,2,0,,,0,2,0,,2,2,2,2,2,2,,2,3,46,46,0,2,,,1,39,Lorain,93,70902,2,2003,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,160 Ridge Circle Ln,,Elyria,OH,44035,4689,,44035,60,1,44035468960,S,,,,1,,,A,,90% Overall probable correctness,41.364586,-82.156846,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093070902,390930709022,-9145658.2619,5066267.6629
36685,OHA20060162,NEW RIVERBEND HOMES,407 SOMMER WAY,ELYRIA,OH,44035,40021,,,,,,,,964128,60,60,0,0,0,20,40,2,,,2006,2007,1,1,,,,,,,,,,,,,,,,,4,1,0,0,1,0,0,,1,3,60,60,,1,,"PREVIOUSLY LISTED AS OHA2006677, OHA2005107.",1,39,Lorain,93,70901,1,1013,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,407 Sommer Way,,Elyria,OH,44035,5455,,44035,7,8,44035545507,S,,,,1,,,A,,90% Overall probable correctness,41.36309,-82.11519,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093070901,390930709011,-9141021.1372,5066045.7739
36765,OHA20130022,LMHA OBERLIN HOMES,56 BERGER CT,OBERLIN,OH,44074,110054,,,,,,,,,51,51,0,0,0,20,27,1,,,2013,2011,2,2,,,,2,,2,0,,,,,,,,,,4,,,,,,,,2,1,51,51,0,1,,,1,39,Lorain,93,60100,3,3000,Lorain,93,57834,Oberlin,57834,Oberlin city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,3942,S,,56 Berger Ct,,Oberlin,OH,44074,1210,,44074,56,6,44074121056,S,,,,1,,,A,,90% Overall probable correctness,41.293663,-82.20654,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3957834,39093060100,390930601003,-9151190.1727,5055753.8616
36840,OHA20100146,WESTWAY GARDENS APTS,1013 GARDEN ST,ELYRIA,OH,44035,100092,,,,,,,,,300,300,0,0,202,98,0,2,,,2010,2011,1,2,1,,,,,,,,,,,,,,,,1,,,,,,,,2,,300,300,0,1,,PREVIOUSLY LISTED AS OHA1994350.,1,39,Lorain,93,70901,2,2015,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,1013 Garden St,,Elyria,OH,44035,4812,,44035,13,5,44035481213,S,,,,1,,,A,,90% Overall probable correctness,41.356561,-82.124051,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093070901,390930709012,-9142007.5392,5065077.4425
36931,OHA20140125,MIDVIEW CROSSING APTS,1864 MIDDLE AVE,ELYRIA,OH,44035,120048,,,,,,,,971676,138,,,,,,,,,,2014,2012,,2,2,1,,2,,2,0,,,,,,,,,,,1,1,2,2,2,2,,2,3,138,138,0,2,,AKA SOUTH PARK APTS.,1,39,Lorain,93,71400,2,2020,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,1864 Middle Ave,,Elyria,OH,44035,7835,,44035,99,3,44035783599,H,,,,1,,,A,,90% Overall probable correctness,41.348105,-82.107336,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093071400,390930714002,-9140146.8339,5063823.4575
36976,OHA20090120,KENSINGTON SQUARE APTS,535 ABBE RD S,ELYRIA,OH,44035,07-0184,,,,,,,,,192,190,0,36,156,0,0,,,,2009,2010,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0,0,,2,,192,190,0,2,,,1,39,Lorain,93,71201,3,3001,Lorain,93,25256,Elyria,25256,Elyria city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,1602,S,,535 Abbe Rd S,,Elyria,OH,44035,6301,,44035,35,6,44035630135,S,,,,1,,,A,,90% Overall probable correctness,41.366777,-82.078128,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3925256,39093071201,390930712013,-9136895.4142,5066592.6445
37092,OHA20120070,MARSHALL PLAZA APTS,2539 MARSHALL AVE,LORAIN,OH,44052,110118,,,,,,,,,89,89,0,16,56,17,0,2,,,2012,2013,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,3,89,89,0,1,,,1,39,Lorain,93,22800,4,4014,Lorain,93,44856,Lorain,44856,Lorain city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3905,2820,S,,2539 Marshall Ave,,Lorain,OH,44052,4337,,44052,39,6,44052433739,S,,,,1,,,A,,90% Overall probable correctness,41.446448,-82.196077,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39093,3944856,39093022800,390930228004,-9150025.4368,5078417.3461
