OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
34363,OHA00000060,SENECA GROVE APTS,707 ARGONNE DR,PAINESVILLE,OH,44077,110079,,,,,,,,,132,132,0,0,108,24,0,,,,8888,8888,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,3,132,132,,,,,1,39,Lake,85,204200,2,2011,Lake,85,59416,Painesville,59416,Painesville city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,4074,S,,707 Argonne Dr,,Painesville,OH,44077,4364,,44077,99,3,44077436499,H,,,,1,,,A,,90% Overall probable correctness,41.741368,-81.249982,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3959416,39085204200,390852042002,-9044706.6232,5122316.0124
34499,OHA19890350,MADISON WOODS,300 KIM DR,MADISON,OH,44057,OH-88-0216,,,,,,,,,40,40,,,,,,,,,1989,1988,2,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,40,40,,2,,,1,39,Lake,85,206100,1,1011,Lake,85,46494,Madison,46480,Madison village,C1,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,2964,S,,300 Kim Dr,,Madison,OH,44057,3222,,44057,0,1,44057322200,S,,,,1,,,A,,90% Overall probable correctness,41.771373,-81.039355,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3946480,39085206100,390852061001,-9021259.7328,5126793.5138
35140,OHA00000018,BRENTWOOD APTS PHASE I,329 BRENTWOOD DR,PAINESVILLE,OH,44077,948189,,,,,,,,,26,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,,,,,1,39,Lake,85,204302,2,2028,Lake,85,59416,Painesville,59416,Painesville city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,4074,S,,329 Brentwood Dr,,Painesville,OH,44077,2758,,44077,29,5,44077275829,S,,,,1,,,A,,90% Overall probable correctness,41.705955,-81.262716,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3959416,39085204302,390852043022,-9046124.1656,5117034.1922
35479,OHA20020131,OAK HILL VILLAGE,38464 OAK HILL LN,WILLOUGHBY,OH,44094,10111,,,,,,,,346265,182,181,0,45,115,22,0,,,,2002,2003,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,182,181,,2,,"PREVIOUSLY LISTED AS OHA2002570, OHA2003192.",1,39,Lake,85,201600,2,2009,Lake,85,85484,Willoughby,85484,Willoughby city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,5718,Y,,38464 Oak Hill Ln Apt 1,,Willoughby,OH,44094,7646,,44094,1,5,44094764601,H,1,Apt,,0,,,,,100% Overall probable correctness,41.657454,-81.400693,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3985484,39085201600,390852016002,-9061483.695,5109805.0257
35498,OHA19990245,WESLEY VILLAGE II,180 WOOD ST,PAINESVILLE,OH,44077,970011,,,,,,,,,62,62,0,0,62,0,0,2,,,1999,2000,1,2,2,,,2,,,,,,,,,,,,,4,1,0,1,0,0,0,,1,2,62,62,,2,,,1,39,Lake,85,204500,2,2005,Lake,85,59416,Painesville,59416,Painesville city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,4074,Y,,180 Wood St Apt 5,,Painesville,OH,44077,3370,,44077,5,0,44077337005,H,5,Apt,,0,,,,,100% Overall probable correctness,41.719819,-81.245909,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3959416,39085204500,390852045002,-9044253.2189,5119101.6498
35983,OHA19980025,BRENTWOOD APTS II,249 BRENTWOOD DR,PAINESVILLE,OH,44077,OH-96-0006,,,,,,,,616747,152,152,0,0,90,62,0,2,,,1998,1996,2,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,2,152,152,,2,,"PREVIOUSLY LISTED AS OHA1996503, OHA1996032, OHA1995030. AKA BRENTWOOD APTS.",1,39,Lake,85,204302,2,2030,Lake,85,59416,Painesville,59416,Painesville city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,4074,S,,249 Brentwood Dr,,Painesville,OH,44077,2774,,44077,49,5,44077277449,S,,,,1,,,A,,90% Overall probable correctness,41.707198,-81.263391,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3959416,39085204302,390852043022,-9046199.3063,5117219.5353
36126,OHA19960275,WESLEY VILLAGE,173 W HIGH ST,PAINESVILLE,OH,44077,944060,,,,,,,,196016,42,42,0,18,24,0,0,,,,1996,1994,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,1,3,42,42,,2,,,1,39,Lake,85,204500,2,2005,Lake,85,59416,Painesville,59416,Painesville city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,4074,N,,173 W High St,,Painesville,OH,44077,3333,,44077,73,6,44077333373,S,,,,1,,,A,,90% Overall probable correctness,41.720218,-81.246948,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3959416,39085204500,390852045002,-9044368.8799,5119161.157
36341,OHA20160031,WILLOUGHBEACH TERRACE,30707 LAKE SHORE BOULEVARD,WILLOWICK,OH,44095,140096,,,,,,,,720656,50,50,0,26,24,0,0,9,,0,2016,2014,,2,2,1,,2,,2,0,2,0,2,0,,,0,2,0,,1,2,1,2,2,2,,1,3,50,50,0,2,,,1,39,Lake,85,200100,1,1003,Lake,85,85638,Willowick,85638,Willowick city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,5730,S,,30707 Lake Shore Blvd,,Willowick,OH,44095,3671,,44095,99,3,44095367199,H,,,,1,,,A,,90% Overall probable correctness,41.640848,-81.472534,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3985638,39085200100,390852001001,-9069480.9985,5107331.1211
36789,OHA20130025,MARY ROSE ESTATES,35253 MAPLEGROVE RD,WILLOUGHBY HILLS,OH,44094,100093,,,,,,,,,40,40,,,,,,,,,2013,2010,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,40,40,0,2,,,1,39,Lake,85,201100,3,3010,Lake,85,85512,Willoughby Hills,85512,Willoughby Hills city,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,5724,S,,35253 Maplegrove Rd,,Willoughby Hills,OH,44094,9690,,44094,99,7,44094969099,H,,,,1,,,A,,90% Overall probable correctness,41.60606,-81.435562,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39085,3985512,39085201100,390852011003,-9065365.2943,5102150.5905
