OBJECTID,HUD_ID,PROJECT,PROJ_ADD,PROJ_CTY,PROJ_ST,PROJ_ZIP,STATE_ID,CONTACT,COMPANY,CO_ADD,CO_CTY,CO_ST,CO_ZIP,CO_TEL,ALLOCAMT,N_UNITS,LI_UNITS,N_0BR,N_1BR,N_2BR,N_3BR,N_4BR,INC_CEIL,LOW_CEIL,CEILUNIT,YR_PIS,YR_ALLOC,NON_PROF,BASIS,BOND,MFF_RA,FMHA_514,FMHA_515,FMHA_538,HOME,HOME_AMT,TCAP,TCAP_AMT,CDBG,CDBG_AMT,FHA,HOPEVI,HPVI_AMT,TCEP,TCEP_AMT,RENTASSIST,TRGT_POP,TRGT_FAM,TRGT_ELD,TRGT_DIS,TRGT_HML,TRGT_OTHER,TRGT_SPC,TYPE,CREDIT,N_UNITSR,LI_UNITR,DDA,QCT,NONPROG,DATANOTE,METRO_TRACT,STATE2KX,CNTY_NM2KX,CNTY2KX,TRACT2KX,BG2KX,BLOCK2KX,CURCNTY_NM,CURCNTY,CURCOSUB,CURCOSUB_NM,PLACE2KX,PLACE_NM2KX,PLACE_CC2KX,PLACE_INC2KX,MSA,MSA_NM,METRO,MICRO,FCD_FIPS91,HLC,DPV,DPVRC,STD_ADDR,URB_OUT,STD_CITY,STD_ST,STD_ZIP5,STD_ZIP9,ZIP_CLASS,ZCTA2KX,DPBC,DPBC_CKSUM,STD_ZIP11,ADDR_TYPE,APT_NO,APT_TYPE,C1PGRC,C1PPRB,C1PDRC,C1PSRC,C1PARC,C1PRC9,MSGUSPS,LAT,LON,RC2KX,STM2KX,LVL2KX,UR,MSG2KX,CBSA,CBSA_NM,NECTA,NECTA_NM,COUNTY_LEVEL,PLACE_LEVEL,TRACT_LEVEL,BLKGRP_LEVEL,x,y
34429,OHA00000095,ST LUCY SENIOR APTS,16246 E HIGH ST,MIDDLEFIELD,OH,44062,100068,,,,,,,,,7,,,,,,,,,,8888,8888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,1,39,Geauga,55,312300,5,5003,Geauga,55,49700,Middlefield,49700,Middlefield village,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,3204,S,,16246 E High St,,Middlefield,OH,44062,7238,,44062,99,6,44062723899,H,,,,1,,,A,,90% Overall probable correctness,41.46158,-81.06379,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39055,3949700,39055312300,390553123005,-9023979.8246,5080664.8645
34432,OHA19880405,NORTHVIEW APTS,14854 NORTHVIEW DR,MIDDLEFIELD,OH,44062,OH-88-0242,,,,,,,,,8,8,,,,,,,,,1988,1988,2,2,,,,2,,,,,,,,,,,,,,,,,,,,,1,2,8,8,,2,,,2,39,Geauga,55,312300,2,2015,Geauga,55,49700,Middlefield,49700,Middlefield village,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,3204,S,,14854 Northview Dr,,Middlefield,OH,44062,9254,,44062,54,5,44062925454,S,,,,1,,,A,,90% Overall probable correctness,41.464407,-81.088121,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39055,3949700,39055312300,390553123002,-9026688.3391,5081084.81
34563,OHA19900265,NORTHVIEW,14855 NORTHVIEW DR,MIDDLEFIELD,OH,44062,OH-89-0427,,,,,,,,,,,,,,,,,,,1990,1989,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,39,Geauga,55,312300,2,2016,Geauga,55,49700,Middlefield,49700,Middlefield village,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,3204,S,,14855 Northview Dr,,Middlefield,OH,44062,9254,,44062,55,4,44062925455,S,,,,1,,,A,,90% Overall probable correctness,41.46662,-81.088645,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39055,3949700,39055312300,390553123002,-9026746.6705,5081413.5597
36939,OHA20070067,LAKEVIEW I,14843 NORTHVIEW DR,MIDDLEFIELD,OH,44062,50017,,,,,,,,29474,40,40,0,34,6,0,0,2,,,2007,2008,1,,,,,1,,1,550000,,,,,,,,,,,1,0,1,0,0,0,,2,3,40,40,0,2,,"PREVIOUSLY LISTED AS OHA2007767, OHA2008120.",1,39,Geauga,55,312300,2,2016,Geauga,55,49700,Middlefield,49700,Middlefield village,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,3204,S,,14843 Northview Dr,,Middlefield,OH,44062,9283,,44062,99,4,44062928399,H,,,,1,,,A,,90% Overall probable correctness,41.466706,-81.088642,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39055,3949700,39055312300,390553123002,-9026746.3366,5081426.3355
36940,OHA20070068,LAKEVIEW VILLAGE II,14767 NORTHVIEW DR,MIDDLEFIELD,OH,44062,70073,,,,,,,,29356,36,36,0,36,0,0,0,2,,,2007,2008,1,,,,,,,1,550000,,,,,,,,,,,1,0,1,0,0,0,,2,3,36,36,0,2,,"PREVIOUSLY LISTED AS OHA2007726, OHA2009005.",1,39,Geauga,55,312300,2,2016,Geauga,55,49700,Middlefield,49700,Middlefield village,C2,,1680,"Cleveland-Lorain-Elyria, OH PMSA",1,0,3914,3204,S,,14767 Northview Dr,,Middlefield,OH,44062,8803,,44062,99,7,44062880399,H,,,,1,,,A,,90% Overall probable correctness,41.466493,-81.088617,S,,R,U,** Street-Level Rooftop **,17460,"Cleveland-Elyria, OH Metropolitan Statistical Area",99999,,39055,3949700,39055312300,390553123002,-9026743.5536,5081394.693
